id_cliente,nome,idade,data_nascimento,cidade,estado,renda
78,Mariana Silva,27,1999-10-03,Curitiba,PR,12720.56
79,Yasmin Oliveira,38,1988-07-08,Salvador,PE,8628.74
80,Tiago Nascimento,19,2007-03-07,Sao Paulo,SP,4265.24
81,Nelson Oliveira,59,1967-01-14,Rio de Janeiro,RJ,2772.7
82,Yasmin Alves,49,1977-07-18,Salvador,BA,13289.91
83,Isabela Ribeiro,38,1988-12-12,Porto Alegre,RS,12355.91
84,Tiago Santos,22,2004-01-08,Curitiba,PR,4885.42
85,Gabriela Martins,74,1952-05-20,Porto Alegre,RS,9823.16
86,Carla Carvalho,51,1975-01-20,Recife,PE,11463.12
87,Zeca Martins,65,1961-01-10,Rio de Janeiro,RJ,8019.76
88,Tiago Alves,68,1958-06-17,Fortaleza,CE,14949.94
89,Sabrina Nascimento,36,1990-07-25,Rio de Janeiro,RJ,4076.11
90,Carla Silva,65,1961-08-11,Recife,PE,14946.43
91,Nelson Rodrigues,54,1972-02-21,Sao Paulo,SP,2989.86
92,Ana Silva,74,1952-11-22,Fortaleza,CE,9291.17
93,Ursula Santos,69,1957-06-07,Rio de Janeiro,RJ,4010.75
94,Yasmin Lima,45,1981-05-06,Sao Paulo,SP,12763.1
95,Fabio Gomes,63,1963-07-04,Belo Horizonte,MG,5474.74
96,Queila Lima,58,1968-02-03,Fortaleza,CE,4911.92
97,Ximena Santos,72,1954-12-06,Porto Alegre,RS,11590.44
98,Pedro Carvalho,65,1961-10-27,Sao Paulo,SP,2163.77
99,Yasmin Ribeiro,74,1952-05-20,Belo Horizonte,MG,7884.01
100,Ursula Costa,71,1955-08-09,Porto Alegre,RS,8101.44
75,Queila Lima,35,1991-11-09,Belo Horizonte,MG,1339.88
11,Ursula Oliveira,61,1965-07-03,Recife,PE,14126.22
2,Wesley Alves,34,1992-12-13,Rio de Janeiro,RJ,8525.21
55,Sabrina Souza,67,1959-08-12,Belo Horizonte,MG,4691.43
12,Elaine Ribeiro,37,1989-10-01,Belo Horizonte,MG,6458.65
